unip	degree	type
O75369	0.2624569364688683	"Mendelian
disease"
P10523	0.23916204451455927	"Mendelian
disease"
P02461	0.21097214129580552	"Mendelian
disease"
P37173	0.26754228565221355	"Mendelian
disease"
P36897	0.27706646673601065	"Mendelian
disease"
Q9HC77	0.2774055328554642	"Mendelian
disease"
Q13492	0.2798960028602632	"Mendelian
disease"
Q99798	0.2319627606794268	"Mendelian
disease"
P11172	0.22476558522567858	"Mendelian
disease"
P07954	0.2359363621915969	"Mendelian
disease"
P80404	0.244202289594889	"Mendelian
disease"
P04179	0.25291548813811565	"Mendelian
disease"
O94979	0.24561902560305815	"Mendelian
disease"
Q16719	0.24395043305658654	"Mendelian
disease"
Q9BUF5	0.24185194636888735	"Mendelian
disease"
P37837	0.24811139725429548	"Mendelian
disease"
O95470	0.22860966940203536	"Mendelian
disease"
P61960	0.26933036003836414	"Mendelian
disease"
Q15907	0.2697175879425367	"Mendelian
disease"
Q99523	0.22996739263621493	"Mendelian
disease"
P05067	0.26573236006422785	"Mendelian
disease"
P11717	0.2250305512737813	"Mendelian
disease"
P31751	0.2756486006938888	"Mendelian
disease"
P82251	0.26458217136440704	"Mendelian
disease"
Q15645	0.26726627238804923	"Mendelian
disease"
P33992	0.26823481942584243	"Mendelian
disease"
P35579	0.27726415450372993	"Mendelian
disease"
Q9H4B7	0.25789706601540346	"Mendelian
disease"
Q9BQL6	0.25569105642688994	"Mendelian
disease"
Q9Y5N6	0.2605027105724448	"Mendelian
disease"
Q9BQ65	0.25540896258749496	"Mendelian
disease"
Q7Z333	0.2647946561337001	"Mendelian
disease"
Q9UKB3	0.2535401890991465	"Mendelian
disease"
Q96KP1	0.258804938280526	"Mendelian
disease"
O75694	0.2622355445673834	"Mendelian
disease"
P43246	0.27839210969168643	"Mendelian
disease"
P49279	0.25359928248898433	"Mendelian
disease"
P52701	0.27048194533994263	"Mendelian
disease"
Q13148	0.2800472863148244	"Mendelian
disease"
Q15003	0.25910692770675764	"Mendelian
disease"
P68366	0.2862582797997862	"Mendelian
disease"
P04792	0.29053101960401256	"Mendelian
disease"
P53618	0.271108716180542	"Mendelian
disease"
P23258	0.2704012827155216	"Mendelian
disease"
P41091	0.27576037750436866	"Mendelian
disease"
P35637	0.27807194702624327	"Mendelian
disease"
Q96G30	0.25430461401369314	"Mendelian
disease"
Q9BVA1	0.27376905231456	"Mendelian
disease"
P52732	0.262027145459118	"Mendelian
disease"
P33991	0.27597020354553664	"Mendelian
disease"
P48444	0.255546930696366	"Mendelian
disease"
