unip	degree	type
P61966	2.1175496470185888e-05	"Mendelian
disease"
P22314	0.0019282360508708057	"Mendelian
disease"
Q13535	0.00025790759476357377	"Mendelian
disease"
Q7Z628	9.102489204449696e-06	"Mendelian
disease"
Q5SW96	1.832722315942204e-06	"Mendelian
disease"
Q96PC3	5.191661633844152e-06	"Mendelian
disease"
Q96D71	2.562787065176173e-05	"Mendelian
disease"
O60331	0.00048537179639547844	"Mendelian
disease"
O75369	3.684680139736486e-05	"Mendelian
disease"
P10523	3.525111633091466e-05	"Mendelian
disease"
P02461	3.3161562987527275e-06	"Mendelian
disease"
P37173	8.032796361906757e-05	"Mendelian
disease"
P36897	8.968349672076889e-05	"Mendelian
disease"
Q9HC77	0.00018607803691426497	"Mendelian
disease"
Q13492	0.0002444887223105471	"Mendelian
disease"
Q99798	3.968823198778065e-05	"Mendelian
disease"
P11172	0.00011158692580051578	"Mendelian
disease"
P07954	0.0001244941509807262	"Mendelian
disease"
P80404	0.0001201827067946966	"Mendelian
disease"
P04179	0.00379154833443508	"Mendelian
disease"
O94979	4.042867826632608e-05	"Mendelian
disease"
Q16719	1.3741411905397882e-05	"Mendelian
disease"
Q9BUF5	0.00023710194132550166	"Mendelian
disease"
P37837	1.4796818895261524e-05	"Mendelian
disease"
O95470	3.211234275830003e-05	"Mendelian
disease"
P61960	0.000823376713355295	"Mendelian
disease"
Q15907	6.919401719887282e-05	"Mendelian
disease"
Q99523	1.9737824519414947e-05	"Mendelian
disease"
P05067	3.7484677698552985e-05	"Mendelian
disease"
P11717	3.234285202061545e-05	"Mendelian
disease"
P31751	0.00010064219691070262	"Mendelian
disease"
P82251	0.000870347017889632	"Mendelian
disease"
Q15645	0.00014375935419258743	"Mendelian
disease"
P33992	0.0004462951788153789	"Mendelian
disease"
P35579	0.0006030487345469875	"Mendelian
disease"
Q9H4B7	0.00011646720635383317	"Mendelian
disease"
Q9BQL6	0.0007541929736686653	"Mendelian
disease"
Q9Y5N6	0.00014023439009458287	"Mendelian
disease"
Q9BQ65	0.0003538707931856564	"Mendelian
disease"
Q7Z333	0.00018870390297819439	"Mendelian
disease"
Q9UKB3	0.00010757848371703411	"Mendelian
disease"
Q96KP1	0.00011464461850549973	"Mendelian
disease"
O75694	0.0001246240167873917	"Mendelian
disease"
P43246	0.00043314208896977563	"Mendelian
disease"
P49279	0.0001078682680454212	"Mendelian
disease"
P52701	0.00018922306105885649	"Mendelian
disease"
Q13148	0.0004063653541931465	"Mendelian
disease"
Q15003	0.0001323811226071634	"Mendelian
disease"
P68366	0.0004738847193644483	"Mendelian
disease"
P04792	0.0005551333401660523	"Mendelian
disease"
P53618	0.0008136310966882818	"Mendelian
disease"
P23258	0.00013909066261170896	"Mendelian
disease"
P41091	0.024539514939711085	"Mendelian
disease"
P35637	0.0002818952304149994	"Mendelian
disease"
Q96G30	0.00010305553871970197	"Mendelian
disease"
Q9BVA1	0.0015153376427629846	"Mendelian
disease"
P52732	0.0001259468671708762	"Mendelian
disease"
P33991	0.0003700929883648398	"Mendelian
disease"
P48444	0.00020886188038182153	"Mendelian
disease"
O60934	0.0002142973052598244	"Mendelian
disease"
Q9NQW6	0.0001254384093216412	"Mendelian
disease"
P51531	0.00023741866746755162	"Mendelian
disease"
O94906	0.004409491817979484	"Mendelian
disease"
Q8TAQ2	0.00023120074696401165	"Mendelian
disease"
Q92620	0.0016105714531261734	"Mendelian
disease"
Q15427	0.0028988368840357605	"Mendelian
disease"
Q8NB90	0.00020447093301738677	"Mendelian
disease"
Q15233	0.00023347445352088153	"Mendelian
disease"
P48643	0.00015756710849201136	"Mendelian
disease"
P12235	0.0009027889197604053	"Mendelian
disease"
Q6KC79	0.00011105117330905828	"Mendelian
disease"
P49792	0.0006146729525621239	"Mendelian
disease"
O95347	0.0006708705932146454	"Mendelian
disease"
O60566	0.00015316573641670274	"Mendelian
disease"
Q96RE7	0.00012548873943171173	"Mendelian
disease"
P04628	0.00010629333461296434	"Mendelian
disease"
Q8TAD8	0.0015388809414546081	"Mendelian
disease"
Q14191	0.0001860996572431971	"Mendelian
disease"
P06681	0.0001717048376146852	"Mendelian
disease"
Q9H211	0.00037705778156032165	"Mendelian
disease"
O43683	0.00018162272099016028	"Mendelian
disease"
P35221	0.00013005072901190747	"Mendelian
disease"
O15297	0.00010381910052698617	"Mendelian
disease"
Q9ULM3	0.00025171074723450153	"Mendelian
disease"
P26373	0.08558111831614139	"Mendelian
disease"
Q9NVI1	0.00011236282364349651	"Mendelian
disease"
O43395	0.0028656223800529643	"Mendelian
disease"
Q92997	0.000252974820185369	"Mendelian
disease"
O75643	0.0034000218656337106	"Mendelian
disease"
O14497	0.00018092802424883226	"Mendelian
disease"
A5YKK6	0.00014223201916405725	"Mendelian
disease"
P57678	0.00025175130094705486	"Mendelian
disease"
Q14683	0.0002681521594214015	"Mendelian
disease"
Q15149	0.0698865483177323	"Mendelian
disease"
Q969G3	0.0001855896469434261	"Mendelian
disease"
P30153	0.00046066086632513657	"Mendelian
disease"
Q15021	0.00011458265434639316	"Mendelian
disease"
P49959	0.00044919798423465724	"Mendelian
disease"
