unip	degree	type
P35579	30.999999999999996	"Mendelian
disease"
Q9H4B7	9.0	"Mendelian
disease"
Q9BQL6	5.999999999999999	"Mendelian
disease"
Q9Y5N6	19.0	"Mendelian
disease"
Q9BQ65	20.0	"Mendelian
disease"
Q7Z333	5.999999999999999	"Mendelian
disease"
Q9UKB3	2.9999999999999996	"Mendelian
disease"
Q96KP1	19.0	"Mendelian
disease"
O75694	23.0	"Mendelian
disease"
P43246	61.0	"Mendelian
disease"
P49279	5.0	"Mendelian
disease"
P52701	27.0	"Mendelian
disease"
Q13148	26.0	"Mendelian
disease"
Q15003	13.999999999999998	"Mendelian
disease"
P68366	55.99999999999999	"Mendelian
disease"
P04792	51.0	"Mendelian
disease"
P53618	33.0	"Mendelian
disease"
P23258	30.0	"Mendelian
disease"
P41091	58.99999999999999	"Mendelian
disease"
P35637	34.0	"Mendelian
disease"
Q96G30	2.9999999999999996	"Mendelian
disease"
Q9BVA1	35.0	"Mendelian
disease"
P52732	13.0	"Mendelian
disease"
P33991	55.99999999999999	"Mendelian
disease"
P48444	13.0	"Mendelian
disease"
O60934	22.0	"Mendelian
disease"
Q9NQW6	5.999999999999999	"Mendelian
disease"
P51531	47.99999999999999	"Mendelian
disease"
O94906	85.0	"Mendelian
disease"
Q8TAQ2	54.0	"Mendelian
disease"
Q92620	61.99999999999999	"Mendelian
disease"
Q15427	96.99999999999999	"Mendelian
disease"
Q8NB90	19.0	"Mendelian
disease"
Q15233	17.0	"Mendelian
disease"
P48643	46.99999999999999	"Mendelian
disease"
P12235	16.0	"Mendelian
disease"
Q6KC79	11.0	"Mendelian
disease"
P49792	44.0	"Mendelian
disease"
O95347	21.0	"Mendelian
disease"
O60566	39.0	"Mendelian
disease"
Q96RE7	9.0	"Mendelian
disease"
P04628	11.999999999999998	"Mendelian
disease"
Q8TAD8	76.99999999999999	"Mendelian
disease"
Q14191	32.0	"Mendelian
disease"
P06681	10.0	"Mendelian
disease"
Q9H211	23.999999999999996	"Mendelian
disease"
O43683	36.99999999999999	"Mendelian
disease"
P35221	23.999999999999996	"Mendelian
disease"
O15297	2.9999999999999996	"Mendelian
disease"
Q9ULM3	26.0	"Mendelian
disease"
P26373	195.0	"Mendelian
disease"
Q9NVI1	5.999999999999999	"Mendelian
disease"
O43395	102.0	"Mendelian
disease"
Q92997	22.0	"Mendelian
disease"
O75643	126.0	"Mendelian
disease"
O14497	23.999999999999996	"Mendelian
disease"
