protein1	protein2
Q99459	P40121
Q99459	P48444
Q99459	Q15291
Q99459	O43242
Q99459	O15234
Q99459	Q9NS91
Q99459	O60934
Q99459	Q9NQW6
Q99459	P51531
Q99459	O14981
Q99459	Q9BTC0
Q99459	O94906
Q99459	Q16630
Q99459	P42166
Q99459	P62306
Q99459	Q8TAQ2
Q99459	Q8IZP6
Q99459	P37108
Q99459	P46940
Q99459	Q92620
Q99459	O75376
Q99459	P17181
Q99459	Q9BZD4
Q99459	Q15427
Q99459	P62308
Q99459	Q9ULR0
Q99459	Q8NB90
Q99459	P40227
Q99459	Q15233
Q99459	P23396
Q99459	O94776
Q99459	P48643
Q99459	Q96QE2
Q99459	P12235
Q99459	Q2TBE0
Q99459	Q6KC79
Q99459	Q96E17
Q99459	O60264
Q99459	P49792
Q99459	Q7L7V1
Q99459	Q8IUH3
Q99459	O95347
Q99459	P50990
Q99459	O60566
Q99459	Q9UMR2
Q99459	Q8TCT6
Q99459	O60841
Q99459	Q14974
Q99459	Q01081
Q99459	Q96RE7
Q99459	Q9UFC0
Q99459	P04628
Q99459	Q96CK0
Q99459	P60842
Q99459	Q9NQ29
Q99459	P49368
Q99459	Q8TF72
Q99459	Q8TAD8
Q99459	O14776
Q99459	O95391
Q99459	O43913
Q99459	Q96P53
Q99459	Q14191
Q99459	Q8WWH5
Q99459	Q9P2I0
Q99459	P78371
Q99459	P06681
Q99459	P14625
Q99459	P53350
Q99459	P62314
Q99459	Q92616
Q99459	Q9H211
Q99459	Q9BQE3
Q99459	Q8TF50
Q99459	Q9UQ35
Q99459	O43683
Q99459	P49327
Q99459	P35221
Q99459	P39748
Q99459	Q15365
Q99459	Q15393
Q99459	P18085
Q99459	Q9NUU7
Q99459	O15297
Q99459	Q6EMK4
Q99459	Q9ULM3
Q99459	P26368
Q99459	P26373
Q99459	Q9UBS0
Q99459	Q14527
Q99459	Q96P11
Q99459	Q99460
Q99459	Q13200
Q99459	O43290
Q99459	P62195
Q99459	Q9NVI1
Q99459	O95747
Q99459	Q9UHB9
Q99459	Q53GS9
Q99459	P78527
Q99459	Q8NE71
Q99459	Q07666
Q99459	Q96GD4
Q99459	Q9BQ90
Q99459	Q13177
Q99459	Q7Z4L9
Q99459	O43395
Q99459	Q12996
Q99459	Q9Y490
Q99459	Q92997
Q99459	P61088
Q99459	O75643
Q99459	P17987
Q99459	O75116
Q99459	Q9Y265
Q99459	Q68E01
Q99459	Q13435
Q99459	Q96A72
Q99459	Q969L4
Q99459	Q9Y266
Q99459	O14497
Q99459	A5YKK6
Q99459	P57678
Q99459	Q14554
Q99459	Q14683
Q99459	Q8NFT6
Q99459	Q15149
Q99459	Q969G3
Q99459	P11021
Q99459	P30153
Q99459	Q9Y678
Q99459	Q15021
Q99459	P52272
Q99459	Q9C0J8
Q99459	P49959
Q99459	Q16629
Q99459	P62136
Q99459	Q8IYB3
Q99459	A6NHR9
Q99459	Q13616
Q99459	Q9H267
Q99459	P35606
Q99459	Q9Y295
Q99459	Q9UBU8
Q99459	Q14147
Q99459	Q9NQ50
Q99459	O75676
Q99459	Q9NVD7
Q99459	Q9UPT5
Q99459	Q64LD2
Q99459	P07900
Q99459	O75533
Q99459	O43143
Q99459	P68363
Q99459	Q92888
Q99459	Q9HD15
Q99459	P07437
Q99459	P68104
Q99459	Q9Y388
Q99459	Q9H1A4
Q99459	O60443
Q99459	P68371
Q99459	P62316
Q99459	Q8N684
Q99459	P08237
Q99459	P35268
Q99459	Q9NR30
Q99459	Q9Y2W1
Q99459	P22626
Q99459	Q70HW3
Q99459	Q9BTA9
Q99459	P46098
Q99459	Q86UA1
Q99459	Q9NR12
Q99459	O00232
Q99459	Q9GZZ9
Q99459	Q9HAU5
Q99459	Q14204
Q99459	P31943
Q99459	Q01082
Q99459	P26599
Q99459	P23246
Q99459	Q9NTJ3
Q99459	Q9H0E3
Q99459	Q92905
Q99459	Q9H0S4
Q99459	Q9HCS7
Q99459	Q9H4L7
Q99459	Q15366
Q99459	Q8WUA4
Q99459	Q8IYB8
Q99459	Q9NRL2
Q99459	Q86YP4
Q99459	Q13042
Q99459	P62495
Q99459	Q6P3W7
Q99459	Q9UQE7
Q99459	P30050
Q99459	Q96P70
Q99459	Q92974
Q99459	Q7Z4S6
Q99459	Q12905
Q99459	Q8WYA6
Q99459	Q9Y5S2
Q99459	P62891
Q99459	Q8N8S7
Q99459	Q9Y5J5
Q99459	Q6P1J9
Q99459	Q9Y5K5
Q99459	Q99496
Q99459	Q9BZQ8
Q99459	Q08211
Q99459	Q9BWJ5
Q99459	Q9Y450
Q99459	P53621
Q99459	P02545
Q99459	Q7Z7F0
Q99459	Q5VWI1
Q99459	O43684
Q99459	O60508
Q99459	Q9Y4K1
Q99459	Q01085
Q99459	O43301
Q99459	Q86WJ1
Q99459	Q9NU22
Q99459	O75934
Q99459	P11441
Q99459	P61163
Q99459	Q8IYB5
Q99459	Q96PP8
Q99459	Q16513
Q99459	P38159
Q99459	Q9H9A6
Q99459	O15541
Q99459	P42771
Q99459	P06493
Q99459	O43929
Q99459	Q8IWX8
Q99459	P35998
Q99459	Q6P2Q9
Q99459	Q01813
Q99459	Q96T58
Q99459	Q01780
Q99459	P11388
Q99459	Q9NYF8
Q99459	Q13838
Q99459	Q9HC77
Q99459	Q14764
Q99459	P46060
Q99459	Q9H0H5
Q99459	Q9HAN9
Q99459	P61978
Q99459	P62899
Q99459	Q96EE3
Q99459	P63162
Q99459	Q9NPF5
Q99459	Q92769
Q99459	P62304
Q99459	O96019
Q99459	Q16637
Q99459	Q15637
Q99459	Q9GZS1
Q99459	A8K8P3
Q99459	Q9H0D6
Q99459	Q8WVV9
Q99459	Q9BV38
Q99459	Q92878
Q99459	Q9UHD8
Q99459	Q149M9
Q99459	Q99466
Q99459	P46459
Q99459	P19013
Q99459	Q9UBP9
Q99459	P14678
Q99459	Q96LL9
Q99459	Q9Y2Z0
Q99459	Q9NQI0
Q99459	Q15029
Q99459	Q9H3U1
Q99459	O43660
Q99459	Q14978
Q99459	Q9UKK3
Q99459	Q8IUC8
Q99459	P31689
Q99459	P40937
Q99459	P62851
Q99459	Q8N187
Q99459	Q9H6S3
Q99459	P52597
Q99459	P08651
Q99459	Q9NUQ8
Q99459	O14757
Q99459	P20042
Q99459	O00471
Q99459	Q13492
Q99459	O95239
Q99459	Q9UJX2
Q99459	P05388
Q99459	P35249
Q99459	P62333
Q99459	Q12906
Q99459	P43034
Q99459	Q9Y5S9
Q99459	Q15717
Q99459	O60341
Q99459	P20073
Q99459	Q9H2P0
Q99459	Q13547
Q99459	Q9BRX9
Q99459	O15042
Q99459	P08670
Q99459	Q9Y230
Q99459	Q7L590
Q99459	Q7L1Q6
Q99459	Q9BZJ0
Q99459	Q8N201
Q99459	P59665
Q99459	Q99633
Q99459	Q9HCK8
Q99459	O96013
Q99459	P50750
Q99459	Q14966
Q99459	Q12874
Q99459	Q16181
Q99459	Q9BSJ2
Q99459	Q9UNP9
Q99459	Q13415
Q99459	Q9Y2G2
Q99459	Q13813
Q99459	P50991
Q99459	Q13885
Q99459	Q9HCG8
Q99459	Q9H875
Q99459	P17980
Q99459	Q9NXE8
Q99459	P41212
Q99459	P10809
Q99459	Q9Y3C6
Q99459	P38936
Q99459	P50570
Q99459	Q9NV70
Q99459	Q9UNM6
Q99459	P08238
Q99459	P61011
Q99459	P11413
Q99459	O43561
Q99459	Q9Y6D9
Q99459	Q6NUK1
Q99459	O60231
Q99459	P11142
Q99459	Q09666
Q99459	Q92900
Q99459	Q9BWF3
Q99459	Q13561
Q99459	Q96I25
Q99459	Q96GM5
Q99459	O14733
Q99459	P07910
Q99459	Q9P013
Q99459	Q96LT9
Q99459	Q13347
Q99459	Q9NNZ3
Q99459	Q99661
Q99459	P52292
Q99459	Q8NA29
Q99459	Q01130
Q99459	P78347
Q99459	P28340
Q99459	Q92804
Q99459	Q9NXV6
Q99459	Q8IUH5
Q99459	Q9UBF2
Q99459	Q9H8E8
Q99459	Q6KCM7
Q99459	P30260
Q99459	Q8TE96
Q99459	Q9H7X0
Q99459	Q9H2I8
Q99459	O00429
Q99459	P51532
Q99459	P13994
Q99459	Q96TA1
Q99459	Q14008
Q99459	Q9HBI1
Q99459	P15924
Q99459	P25205
Q99459	Q86XP3
Q99459	P08621
Q99459	Q9BZZ5
Q99459	Q14980
Q99459	P61160
Q99459	P58107
Q99459	Q9BZK7
Q99459	Q6UX04
Q99459	Q9NR31
Q99459	Q8WU79
Q99459	P46087
Q99459	P40938
Q99459	P41223
Q99459	Q16576
Q15366	Q15654
Q15366	P09382
Q15366	Q96EK6
Q15366	Q9BQA1
Q15366	Q13526
Q15366	P61081
Q15366	P17931
Q15366	Q9NZI8
Q15366	Q4VC31
Q15366	O95391
Q15366	P18085
Q15366	P11940
Q15366	Q14103
Q15366	Q96I24
Q15366	Q13435
Q15366	P07355
Q15366	Q8N5F7
Q15366	P63244
Q15366	Q6P3W7
Q15366	Q9BWD1
Q15366	P31483
Q15366	Q99661
Q15366	Q15717
Q15366	Q96AE4
Q15366	Q9BRX9
Q15366	Q01085
Q6ZMR3	P07339
Q6ZMR3	P60981
Q6ZMR3	P30086
Q6ZMR3	P05091
Q6ZMR3	Q00796
Q6ZMR3	P22061
Q6ZMR3	Q9Y281
Q6ZMR3	P51148
Q6ZMR3	P07205
Q6ZMR3	P84077
Q6ZMR3	P30038
Q6ZMR3	P40925
Q6ZMR3	P14618
Q6ZMR3	Q96I99
Q6ZMR3	P18085
Q6ZMR3	P61088
P84077	O14653
P84077	P53618
P84077	O00203
P84077	Q9UPM8
P84077	P62491
P84077	O60271
P84077	O14579
P84077	O14939
P84077	Q9NP61
P84077	P20339
P84077	O43150
P84077	Q9NRW1
P84077	P06748
P84077	Q9BYZ2
P84077	P49755
P84077	P06213
P84077	P18085
P84077	Q9UPQ3
P84077	Q9H0U4
P84077	P20340
P84077	Q9UJY4
P84077	Q53GS9
P84077	Q8N6T3
P84077	Q9Y678
P84077	Q86SX6
P84077	P24390
P84077	Q15907
P84077	P59780
P84077	Q13393
P84077	O00189
P84077	P61020
P84077	Q15438
P84077	Q99755
P84077	P22694
P84077	Q9NR31
P84077	O43747
P84077	Q5T5U3
P84077	Q96PC3
P84077	P62820
P84077	Q9BXS5
P84077	P53367
P84077	Q99418
P84077	Q14232
P84077	Q9ULH1
P84077	Q8N6H7
P84077	P07864
P84077	Q9NZ52
P84077	P51148
P84077	Q14376
P84077	Q13367
P84077	P13804
Q99418	P36406
Q99418	P61204
Q99418	O60759
Q99418	P62330
Q99418	P18085
Q99418	P49703
Q99418	Q9Y487
Q99418	Q8IVW1
Q99418	P40617
Q99418	Q9NXU5
Q96EP5	Q9NR45
Q96EP5	P07737
Q96EP5	O60493
Q96EP5	Q9NRN7
Q96EP5	Q15404
Q96EP5	P50454
Q96EP5	P31483
Q96EP5	Q96I24
Q96EP5	O43715
Q96EP5	Q12888
Q96EP5	P55263
Q96EP5	O14787
Q96EP5	Q9Y2V2
Q96EP5	P15559
Q96EP5	Q9NTZ6
Q96EP5	O00244
Q96EP5	Q92904
Q96EP5	O75874
Q96EP5	P63000
Q96EP5	Q6UXN9
Q96EP5	P63167
Q96EP5	Q9Y530
Q96EP5	P34949
Q96EP5	Q92973
Q96EP5	P40121
Q96EP5	Q01085
O43150	P25054
O43150	Q96B97
O43150	O95996
P00338	P12955
P00338	P05091
P00338	P14735
P00338	Q9NRW1
P00338	P55263
P00338	P49368
P00338	P10253
P00338	Q14103
P00338	P14618
P00338	Q92526
P00338	Q5VW32
P00338	P07741
P00338	P42785
P00338	Q9NQR4
P00338	P07195
P00338	P16930
P00338	Q99497
P00338	P07864
P62491	P35579
P62491	P61970
P62491	Q5JSH3
P62491	Q9BXF6
P62491	Q9H1C7
P62491	Q9NQX4
P62491	P49768
P62491	Q9H0U4
P62491	Q5S007
P62491	P51149
P62491	Q9ULV0
P62491	Q96CV9
P62491	P61019
P62491	P50395
P62491	P62820
P62491	P51148
P62491	Q96B97
P62491	Q9Y4I1
P62491	P20339
P62491	Q7L804
P62491	P52565
P62491	O60447
P62491	Q5T4F4
P62491	P18669
P62491	P11021
P62491	Q15907
P62491	P53611
P62491	Q96QF0
P62491	Q9UDW1
P62491	P61020
P62491	P34931
P62491	P46937
P62491	P30153
P62491	Q86YS3
P62491	Q12846
P62491	P31150
P62491	P49810
P62491	Q7L8J4
P62491	P35580
Q9UJY4	P36406
Q9UJY4	Q6ULP2
Q9UJY4	Q99523
Q9UJY4	P61204
Q9UJY4	Q92673
Q9UJY4	P18085
Q9UJY4	Q15276
Q9UJY4	Q8IVW1
Q9UJY4	Q7Z6B0
Q9UJY4	P11717
Q9BYZ2	P60174
Q9BYZ2	Q00796
Q9BYZ2	P51148
Q9BYZ2	P30038
Q9BYZ2	P40925
Q9BYZ2	O75083
Q9BYZ2	P18085
Q9BYZ2	P80404
Q9BYZ2	Q14103
Q9BYZ2	P37837
P61020	P07339
P61020	O75351
P61020	P61224
P61020	O95714
P61020	P61019
P61020	P51149
P61020	Q5S007
P61020	P61006
P61020	Q9H0U4
P61020	Q13671
P61020	Q15075
P61020	P49411
P61020	Q15907
P61020	Q9P0L0
P61020	P24386
P61020	Q9H5N1
