protein1	protein2
Q969Q0	P61254
Q969Q0	Q96IZ7
Q969Q0	P82914
Q969Q0	P62854
Q969Q0	P39019
Q969Q0	Q9NRP0
Q969Q0	P47914
Q969Q0	P62841
Q969Q0	P46782
Q969Q0	Q02878
Q6IS14	P49366
Q6IS14	Q9BYC8
Q6IS14	Q9P0M9
Q6IS14	Q9Y2R9
Q6IS14	Q9C0E2
Q6IS14	P42766
Q6IS14	P62917
Q6IS14	P62280
Q6IS14	P82675
Q6IS14	Q9NRX2
Q6IS14	O75394
Q6IS14	P62266
Q6IS14	P23284
Q6IS14	P46781
Q6IS14	Q9BYD1
Q6IS14	Q9BYD6
Q6IS14	Q9BYC9
Q6IS14	P46776
Q6IS14	P26038
Q6IS14	Q7Z2W9
Q6IS14	P15311
Q6IS14	P37802
Q6IS14	P46777
Q6IS14	Q9Y3D3
Q6IS14	P82914
Q6IS14	P62906
Q6IS14	Q5T653
Q6IS14	P40429
Q6IS14	P62273
Q6IS14	O15235
Q6IS14	P62263
Q6IS14	P62750
Q6IS14	P32969
Q6IS14	P62829
Q6IS14	Q9P0J6
Q6IS14	P60866
Q6IS14	P62277
Q6IS14	P62841
Q6IS14	P46782
P83731	Q05639
P83731	P60468
P83731	P84098
P83731	P25398
P83731	Q9Y2R9
P83731	P62249
P83731	Q9BYD3
P83731	P42766
P83731	P62917
P83731	P46199
P83731	P09001
P83731	Q9H089
P83731	Q9GZS3
P83731	Q92901
P83731	Q9UJW3
P83731	P62280
P83731	P82675
P83731	P61927
P83731	Q9BRX2
P83731	Q9BYG3
P83731	Q6ZNA5
P83731	O60841
P83731	Q8TCJ2
P83731	P04843
P83731	Q96EH5
P83731	P62266
P83731	Q96L21
P83731	Q9H9S3
P83731	Q9UQ80
P83731	P46781
P83731	P49458
P83731	Q9BYD1
P83731	P13639
P83731	P61313
P83731	P63173
P83731	Q969S3
P83731	P36578
P83731	Q9BYD6
P83731	P19338
P83731	P14618
P83731	Q9Y3A4
P83731	P08240
P83731	Q71UM5
P83731	Q9NZJ9
P83731	P68104
P83731	P18124
P83731	P30613
P83731	P63220
P83731	P46776
P83731	P05386
P83731	P08865
P83731	Q6P5R6
P83731	P35268
P83731	P62854
P83731	Q6PGP7
P83731	Q9BZE4
P83731	Q96A35
P83731	P30050
P83731	P62891
P83731	Q9Y450
P83731	P46777
P83731	Q8NC51
P83731	P62424
P83731	P82914
P83731	P62906
P83731	Q8NA23
P83731	P56537
P83731	Q9UKD2
P83731	Q15477
P83731	Q96G61
P83731	Q8NFP7
P83731	P50583
P83731	P62753
P83731	Q6W5P4
P83731	Q5T653
P83731	P40429
P83731	P46977
P83731	P27635
P83731	P0C6T2
P83731	O95989
P83731	Q9P0K9
P83731	P62273
P83731	Q9UNX3
P83731	P61011
P83731	P62750
P83731	P62888
P83731	P62847
P83731	P62829
P83731	P09132
P83731	P62277
P83731	Q9Y3U8
P83731	Q8N1I0
P83731	O95478
P83731	Q9Y3F4
P83731	Q9Y5M8
P83731	P61513
P83731	O15235
P83731	P62910
P83731	P62851
P83731	Q6RFH5
P83731	P62263
P83731	Q6DKI1
P83731	P60866
P83731	P05388
P83731	P50914
P83731	P32969
P83731	P62241
P83731	P46783
P83731	Q07020
P83731	O60341
P83731	P15170
P83731	O94822
P83731	Q96D46
P83731	P61254
P83731	Q96IZ7
P83731	P39019
P83731	Q9NRP0
P83731	P47914
P83731	P62841
P83731	P46782
P83731	Q02878
P41091	P55010
P41091	P60228
P41091	Q9UG63
P41091	P25398
P41091	O60739
P41091	Q9Y2R9
P41091	Q9UBQ5
P41091	P62249
P41091	Q99613
P41091	Q9H9Y6
P41091	B5ME19
P41091	P55884
P41091	Q16659
P41091	P08865
P41091	P62273
P41091	P62753
P41091	Q71UM5
P41091	P62277
P41091	P05198
P41091	P46781
P41091	O15372
P41091	P41567
P41091	O15235
P41091	P62266
P41091	P47813
P41091	Q13347
P41091	Q14152
P41091	Q9NR50
P41091	P62851
P41091	P62263
P41091	P53999
P41091	Q7L2H7
P41091	P20042
P41091	P60866
P41091	Q8NA23
P41091	Q9UI10
P41091	P46783
P41091	Q96IZ7
P41091	P82914
P41091	P49770
P41091	P82675
P41091	Q14232
P41091	P46782
P41091	P62280
Q9P0M9	P82673
Q9P0M9	Q13084
Q9P0M9	Q9BYC8
Q9P0M9	Q9H173
Q9P0M9	P18124
Q9P0M9	H3BMG3
Q9P0M9	P27635
Q9P0M9	Q96EH3
Q9P0M9	O43824
Q9P0M9	P08240
Q9P0M9	Q7Z7F7
Q9P0M9	P08865
Q9P0M9	O75394
Q9P0M9	Q9NQ50
Q9P0M9	P62273
Q9P0M9	Q96A35
Q9P0M9	Q9UNX3
Q9P0M9	P46776
Q9P0M9	P61011
Q9P0M9	P62750
Q9P0M9	Q9Y3D5
Q9P0M9	P36578
Q9P0M9	Q9BYD3
Q9P0M9	Q9NRX2
Q9P0M9	P42766
Q9P0M9	Q9NZE8
Q9P0M9	P62917
Q9P0M9	P62829
Q9P0M9	Q7Z7H8
Q9P0M9	P62277
Q9P0M9	Q96L21
Q9P0M9	Q9NP92
Q9P0M9	P46781
Q9P0M9	Q9UGC7
Q9P0M9	P46199
Q9P0M9	Q96EY7
Q9P0M9	Q9BYD6
Q9P0M9	Q9HBH1
Q9P0M9	Q9UKD2
Q9P0M9	O15235
Q9P0M9	Q96EL2
Q9P0M9	Q92665
Q9P0M9	P09001
Q9P0M9	P62266
Q9P0M9	Q8TAE8
Q9P0M9	Q96S96
Q9P0M9	Q15029
Q9P0M9	Q4U2R6
Q9P0M9	Q6P161
Q9P0M9	Q9BYN8
Q9P0M9	Q9NX20
Q9P0M9	P62906
Q9P0M9	Q9Y6G3
Q9P0M9	P62263
Q9P0M9	P46777
Q9P0M9	Q6DKI1
Q9P0M9	Q9BQ48
Q9P0M9	P62249
Q9P0M9	Q6W5P4
Q9P0M9	Q9NVS2
Q9P0M9	Q9P0J6
Q9P0M9	Q9Y291
Q9P0M9	P63241
Q9P0M9	P60866
Q9P0M9	P05388
Q9P0M9	Q5T653
Q9P0M9	P30050
Q9P0M9	P32969
Q9P0M9	Q9Y2R5
Q9P0M9	Q9GZV4
Q9P0M9	P13639
Q9P0M9	Q96RP9
Q9P0M9	P49411
Q9P0M9	Q9BYC9
Q9P0M9	Q9H2W6
Q9P0M9	Q7Z2W9
Q9P0M9	P40429
Q9P0M9	Q9NWT8
Q9P0M9	Q9Y3D3
Q9P0M9	Q9NZL4
Q9P0M9	Q9NYK5
Q9P0M9	Q96EL3
Q9P0M9	P30086
Q9P0M9	P61254
Q9P0M9	Q9H9J2
Q9P0M9	Q9H3J6
Q9P0M9	Q7Z2Z2
Q9P0M9	O14561
Q9P0M9	P82914
Q9P0M9	Q9Y399
Q9P0M9	Q9Y2R9
Q9P0M9	Q6P1L8
Q9P0M9	Q13405
Q9P0M9	O60841
Q9P0M9	P82675
Q9P0M9	Q9BQC6
Q9P0M9	Q8TCC3
Q9P0M9	Q9BYD1
Q9P0M9	Q8N4P3
Q9P0M9	P62841
Q9P0M9	Q9BZE1
Q9P0M9	Q92901
Q9P0M9	Q9H9S3
Q9P0M9	P46782
Q9P0M9	P62280
Q9P0M9	Q8IXM3
Q7Z7F7	P82673
Q7Z7F7	Q13084
Q7Z7F7	Q9BYC8
Q7Z7F7	Q4U2R6
Q7Z7F7	Q9Y2R9
Q7Z7F7	O43555
Q7Z7F7	Q9BQ48
Q7Z7F7	Q9BYD3
Q7Z7F7	Q96EY7
Q7Z7F7	Q96EL3
Q7Z7F7	Q9H9J2
Q7Z7F7	P09001
Q7Z7F7	P82675
Q7Z7F7	Q13405
Q7Z7F7	Q9Y2R5
Q7Z7F7	Q9NRX2
Q7Z7F7	Q7Z7H8
Q7Z7F7	Q9Y3D5
Q7Z7F7	O75394
Q7Z7F7	Q9NX20
Q7Z7F7	Q9NYK5
Q7Z7F7	Q9BYD1
Q7Z7F7	Q9H2W6
Q7Z7F7	Q92665
Q7Z7F7	Q96EL2
Q7Z7F7	Q8TAE8
Q7Z7F7	Q9NQ50
Q7Z7F7	Q8TCC3
Q7Z7F7	Q9NZE8
Q7Z7F7	Q9BYC9
Q7Z7F7	Q9BZE1
Q7Z7F7	Q96A35
Q7Z7F7	Q7Z2W9
Q7Z7F7	Q8IXM3
Q7Z7F7	Q9Y399
Q7Z7F7	Q6P1L8
Q7Z7F7	Q9NVS2
Q7Z7F7	Q9Y3D3
Q7Z7F7	P82914
Q7Z7F7	Q9BYN8
Q7Z7F7	Q5T653
Q7Z7F7	Q9Y291
Q7Z7F7	Q9Y6G3
Q7Z7F7	Q9P0J6
Q7Z7F7	O14561
Q7Z7F7	Q9NP92
O75394	P82673
O75394	Q13084
O75394	Q9UG63
O75394	Q9BYC8
O75394	Q4U2R6
O75394	Q9Y2R9
O75394	P62249
O75394	Q9BQ48
O75394	Q9BYD3
O75394	Q9H3J6
O75394	Q96EY7
O75394	Q9NZL4
O75394	Q96EL3
O75394	Q9H9J2
O75394	P42766
O75394	P62917
O75394	P46199
O75394	P09001
O75394	Q7Z2Z2
O75394	Q92901
O75394	P62280
O75394	P82675
O75394	Q13405
O75394	Q9Y2R5
O75394	Q9HBH1
O75394	Q9NRX2
O75394	O60841
O75394	Q7Z7H8
O75394	Q9Y3D5
O75394	Q9GZV4
O75394	Q9H173
O75394	P18124
O75394	H3BMG3
O75394	P27635
O75394	Q96EH3
O75394	O43824
O75394	P08240
O75394	P08865
O75394	Q9NQ50
O75394	P62273
O75394	Q96A35
O75394	Q9UNX3
O75394	P46776
O75394	P61011
O75394	P62750
O75394	P36578
O75394	Q9NZE8
O75394	P62829
O75394	P62277
O75394	Q96L21
O75394	Q9NP92
O75394	P46781
O75394	Q9UGC7
O75394	Q9BYD6
O75394	Q9UKD2
O75394	O15235
O75394	Q96EL2
O75394	Q92665
O75394	P62266
O75394	P47813
O75394	Q8TAE8
O75394	Q15029
O75394	Q6P161
O75394	Q9BYN8
O75394	Q9NX20
O75394	P62906
O75394	Q9Y6G3
O75394	P62263
O75394	P46777
O75394	Q6DKI1
O75394	Q6W5P4
O75394	Q9NVS2
O75394	Q9P0J6
O75394	Q9NUQ8
O75394	Q9Y291
O75394	P63241
O75394	P60866
O75394	P05388
O75394	Q5T653
O75394	P30050
O75394	P32969
O75394	P13639
O75394	Q96RP9
O75394	P49411
O75394	Q9BYC9
O75394	Q9H2W6
O75394	Q7Z2W9
O75394	P40429
O75394	Q9NWT8
O75394	Q9Y3D3
O75394	Q8NE71
O75394	P61254
O75394	O14561
O75394	P82914
O75394	Q9Y399
O75394	Q6P1L8
O75394	Q9BQC6
O75394	Q8TCC3
O75394	Q9BYD1
O75394	Q8N4P3
O75394	P62841
O75394	Q9BZE1
O75394	Q9H9S3
O75394	P46782
O75394	Q8IXM3
Q9NQ50	P82673
Q9NQ50	Q13084
Q9NQ50	Q9BYC8
Q9NQ50	Q4U2R6
Q9NQ50	Q9Y2R9
Q9NQ50	Q9BQ48
Q9NQ50	Q9BYD3
Q9NQ50	Q96EY7
Q9NQ50	Q96EL3
Q9NQ50	Q9H9J2
Q9NQ50	P09001
Q9NQ50	P82675
Q9NQ50	Q13405
Q9NQ50	Q9Y2R5
Q9NQ50	Q9NRX2
Q9NQ50	Q7Z7H8
Q9NQ50	Q9Y3D5
Q9NQ50	Q9NX20
Q9NQ50	Q2NL82
Q9NQ50	Q9NYK5
Q9NQ50	Q9BYD1
Q9NQ50	Q9BQC6
Q9NQ50	Q9H2W6
Q9NQ50	Q9BYD6
Q9NQ50	Q92665
Q9NQ50	Q96EL2
Q9NQ50	Q8TAE8
Q9NQ50	Q6P161
Q9NQ50	Q9UJZ1
Q9NQ50	P40939
Q9NQ50	P24539
Q9NQ50	P36957
Q9NQ50	P55884
Q9NQ50	Q96EH3
Q9NQ50	Q96A35
Q9NQ50	P46776
Q9NQ50	Q9NZE8
Q9NQ50	P05023
Q9NQ50	Q9NP92
Q9NQ50	O15235
Q9NQ50	Q6DD88
Q9NQ50	O43660
Q9NQ50	Q9BYN8
Q9NQ50	Q9Y6G3
Q9NQ50	Q9NVS2
Q9NQ50	Q9P0J6
Q9NQ50	Q9Y291
Q9NQ50	Q5T653
Q9NQ50	P62241
Q9NQ50	Q9BYC9
Q9NQ50	Q7Z2W9
Q9NQ50	Q9NWT8
Q9NQ50	Q9Y3D3
Q9NQ50	O14561
Q9NQ50	P82914
Q9NQ50	Q99623
Q9NQ50	Q9Y399
Q9NQ50	Q6P1L8
Q9NQ50	Q8TCC3
Q9NQ50	Q9BZE1
Q9NQ50	Q8IXM3
P62273	Q05639
P62273	P60228
P62273	Q9BYC8
P62273	P60468
P62273	P84098
P62273	P25398
P62273	Q13895
P62273	O60739
P62273	Q9Y2R9
P62273	Q9UBQ5
P62273	P62249
P62273	Q9BQ48
P62273	Q9BYD3
P62273	Q9H3J6
P62273	P05198
P62273	P42766
P62273	P62917
P62273	P46199
P62273	Q9NRX1
P62273	P09001
P62273	Q9GZS3
P62273	Q92901
P62273	P62280
P62273	P41214
P62273	P82675
P62273	P61927
P62273	Q9BRX2
P62273	O43583
P62273	Q9BVS4
P62273	Q9HBH1
P62273	Q9NRX2
P62273	O60841
P62273	Q9GZV4
P62273	Q96EH5
P62273	P62266
P62273	Q96L21
P62273	Q9H9S3
P62273	Q2NL82
P62273	P46781
P62273	P49458
P62273	Q9BYD1
P62273	P13639
P62273	P61313
P62273	P63173
P62273	P36578
P62273	Q9BYD6
P62273	P49411
P62273	Q71UM5
P62273	Q99613
P62273	P63241
P62273	Q9NZJ9
P62273	P68104
P62273	P18124
P62273	Q9BYC9
P62273	Q8IYD1
P62273	P63220
P62273	P46776
P62273	P05386
P62273	P08865
P62273	Q6P5R6
P62273	P35268
P62273	P62854
P62273	Q6PGP7
P62273	P55884
P62273	Q96A35
P62273	Q7Z2W9
P62273	P30050
P62273	P62891
P62273	Q9UGC7
P62273	Q96GA3
P62273	Q14152
P62273	P46777
P62273	Q8NC51
P62273	P62424
P62273	Q9Y3D3
P62273	P82914
P62273	Q13347
P62273	P62906
P62273	Q8NA23
P62273	Q9UKD2
P62273	Q5JVS0
P62273	Q15477
P62273	Q96G61
P62273	Q8NFP7
P62273	P50583
P62273	P47813
P62273	P62753
P62273	B5ME19
P62273	Q6W5P4
P62273	Q5T653
P62273	P40429
P62273	Q8N4P3
P62273	O00303
P62273	Q9UNX3
P62273	P09132
P62273	P62277
P62273	Q9Y3U8
P62273	Q9BVP2
P62273	O95478
P62273	P41567
P62273	P61513
P62273	P62851
P62273	Q6DKI1
P62273	Q7L2H7
P62273	Q9P0J6
P62273	P05388
P62273	P50914
P62273	Q9BY44
P62273	P32969
P62273	P62241
P62273	P46783
P62273	Q07020
P62273	P15170
P62273	Q96IZ7
P62273	P39019
P62273	P46782
P62273	P27635
P62273	O95989
P62273	P61011
P62273	P62750
P62273	P62888
P62273	P62847
P62273	P62829
P62273	O15372
P62273	Q8N1I0
P62273	O15235
P62273	P62910
P62273	P62263
P62273	P61218
P62273	P60866
P62273	P61254
P62273	Q9Y262
P62273	P47914
P62273	P62841
P62273	Q02878
Q96A35	P82673
Q96A35	Q13084
Q96A35	Q9BYC8
Q96A35	P60468
Q96A35	P84098
Q96A35	Q4U2R6
Q96A35	Q9Y2R9
Q96A35	Q9BQ48
Q96A35	Q9BYD3
Q96A35	Q96EY7
Q96A35	Q96EL3
Q96A35	Q9H9J2
Q96A35	P42766
Q96A35	P62917
Q96A35	P46199
Q96A35	P09001
Q96A35	P62280
Q96A35	P82675
Q96A35	Q13405
Q96A35	Q9Y2R5
Q96A35	Q9HBH1
Q96A35	Q9NRX2
Q96A35	O60841
Q96A35	Q7Z7H8
Q96A35	Q9Y3D5
Q96A35	Q8TCJ2
Q96A35	P04843
Q96A35	P62266
Q96A35	Q9H9S3
Q96A35	Q9NX20
Q96A35	Q2NL82
Q96A35	P46781
Q96A35	P49458
Q96A35	Q9NYK5
Q96A35	Q9BYD1
Q96A35	P61313
Q96A35	P63173
Q96A35	Q9BQC6
Q96A35	Q9H2W6
Q96A35	Q9BYD6
Q96A35	Q92665
Q96A35	Q96EL2
Q96A35	P49411
Q96A35	Q8TAE8
Q96A35	P08240
Q96A35	Q71UM5
Q96A35	Q6P161
Q96A35	Q8TCC3
Q96A35	Q9NZE8
Q96A35	Q9BYC9
Q96A35	Q9NWT8
Q96A35	P63220
Q96A35	P46776
Q96A35	P05386
Q96A35	Q6P5R6
Q96A35	P35268
Q96A35	P62854
Q96A35	Q9BZE1
Q96A35	P56537
Q96A35	Q96EH3
Q96A35	P61011
Q96A35	P62750
Q96A35	P62888
Q96A35	P62847
Q96A35	P62829
Q96A35	P62753
Q96A35	P09132
Q96A35	P46977
Q96A35	P62277
Q96A35	Q9NP92
Q96A35	Q9Y3U8
Q96A35	O95478
Q96A35	P61513
Q96A35	Q9UKD2
Q96A35	O15235
Q96A35	P62910
Q96A35	O14802
Q96A35	Q9BYN8
Q96A35	P62906
Q96A35	Q53S58
Q96A35	P62851
Q96A35	Q9Y6G3
Q96A35	P62263
Q96A35	P46777
Q96A35	Q9NVS2
Q96A35	Q9P0J6
Q96A35	Q9Y291
Q96A35	P60866
Q96A35	Q8NA23
Q96A35	P05388
Q96A35	Q5T653
Q96A35	P30050
Q96A35	P32969
Q96A35	P62241
Q96A35	Q7Z2W9
Q96A35	P40429
Q96A35	Q07020
Q96A35	Q9Y3D3
Q96A35	O14561
Q96A35	P82914
Q96A35	Q9Y399
Q96A35	Q6P1L8
Q96A35	P39019
Q96A35	Q9NRP0
Q96A35	Q8N4P3
Q96A35	P47914
Q96A35	P62841
Q96A35	P46782
Q96A35	Q8IXM3
Q96A35	Q02878
Q9UNX3	Q05639
Q9UNX3	Q9BYC8
Q9UNX3	P60468
Q9UNX3	P84098
Q9UNX3	P25398
Q9UNX3	Q9Y2R9
Q9UNX3	Q9NZM5
Q9UNX3	Q96PQ6
Q9UNX3	P62249
Q9UNX3	P42766
Q9UNX3	P62917
Q9UNX3	P46199
Q9UNX3	Q92901
Q9UNX3	P62280
Q9UNX3	P82675
Q9UNX3	P61927
Q9UNX3	Q9BYG3
Q9UNX3	Q6ZNA5
Q9UNX3	Q9HBH1
Q9UNX3	Q9NRX2
Q9UNX3	O60841
Q9UNX3	Q8TCJ2
Q9UNX3	P04843
Q9UNX3	Q96EH5
Q9UNX3	P62266
Q9UNX3	Q96L21
Q9UNX3	P17026
Q9UNX3	O60524
Q9UNX3	Q9H9S3
Q9UNX3	P46781
Q9UNX3	P49458
Q9UNX3	Q9BYD1
Q9UNX3	P47897
Q9UNX3	P13639
Q9UNX3	P61313
Q9UNX3	P63173
Q9UNX3	P36578
Q9UNX3	Q9H845
Q9UNX3	Q9BYD6
Q9UNX3	P19338
Q9UNX3	P49411
Q9UNX3	P08240
Q9UNX3	Q71UM5
Q9UNX3	P68104
Q9UNX3	P18124
Q9UNX3	Q9BYC9
Q9UNX3	P63220
Q9UNX3	P46776
Q9UNX3	P05386
Q9UNX3	P08865
Q9UNX3	Q6P5R6
Q9UNX3	P35268
Q9UNX3	P62854
Q9UNX3	Q9BXY0
Q9UNX3	Q7Z2W9
Q9UNX3	P30050
Q9UNX3	P62891
Q9UNX3	P46777
Q9UNX3	Q9H9Y2
Q9UNX3	O95793
Q9UNX3	P62424
Q9UNX3	Q9Y3D3
Q9UNX3	P82914
Q9UNX3	P62906
Q9UNX3	Q8NA23
Q9UNX3	P56537
Q9UNX3	Q9UKD2
Q9UNX3	P62753
Q9UNX3	Q6W5P4
Q9UNX3	Q5T653
Q9UNX3	P40429
Q9UNX3	P46977
Q9UNX3	Q8N4P3
Q9UNX3	P50914
Q9UNX3	P62241
Q9UNX3	O15235
Q9UNX3	P62263
Q9UNX3	Q8N5P1
Q9UNX3	P62750
Q9UNX3	P32969
Q9UNX3	Q9H7B2
Q9UNX3	Q02878
Q9UNX3	Q8N1I0
Q9UNX3	P27635
Q9UNX3	P62847
Q9UNX3	P62910
Q9UNX3	P61513
Q9UNX3	Q6DKI1
Q9UNX3	Q9Y5M8
Q9UNX3	P47914
Q9UNX3	P62829
Q9UNX3	Q9P0J6
Q9UNX3	P09132
Q9UNX3	Q9NRP0
Q9UNX3	P62888
Q9UNX3	Q9P0K9
Q9UNX3	P61011
Q9UNX3	P62277
Q9UNX3	Q9Y3U8
Q9UNX3	O95478
Q9UNX3	P62851
Q9UNX3	P60866
Q9UNX3	P05388
Q9UNX3	P46783
Q9UNX3	Q07020
Q9UNX3	P61254
Q9UNX3	Q96IZ7
Q9UNX3	P39019
Q9UNX3	P62841
Q9UNX3	P46782
P46776	Q05639
P46776	Q9BYC8
P46776	P60468
P46776	P84098
P46776	P25398
P46776	P42285
P46776	Q9Y2R9
P46776	Q9NZM5
P46776	P62249
P46776	Q9BQ48
P46776	Q9BYD3
P46776	Q9H3J6
P46776	Q9Y221
P46776	P42766
P46776	Q9GZL7
P46776	P62917
P46776	Q9NVP1
P46776	P46199
P46776	P09001
P46776	Q9H089
P46776	Q9GZS3
P46776	Q92901
P46776	P62280
P46776	P82675
P46776	P61927
P46776	Q9BRX2
P46776	Q13405
P46776	Q9BYG3
P46776	Q6ZNA5
P46776	Q9HBH1
P46776	Q9NRX2
P46776	O60841
P46776	Q8TCJ2
P46776	Q9GZV4
P46776	P04843
P46776	Q96EH5
P46776	P62266
P46776	Q96L21
P46776	Q9H9S3
P46776	Q9UQ80
P46776	P46781
P46776	P49458
P46776	Q9BYD1
P46776	P47897
P46776	P13639
P46776	P61313
P46776	P63173
P46776	Q969S3
P46776	P36578
P46776	Q9H2W6
P46776	Q9BYD6
P46776	P14618
P46776	Q15050
P46776	P49411
P46776	Q71UM5
P46776	P63241
P46776	Q9NVN8
P46776	Q8TDN6
P46776	P68104
P46776	P18124
P46776	P30613
P46776	Q9BYC9
P46776	P63220
P46776	P62891
P46776	Q01780
P46776	P56537
P46776	P27635
P46776	P62424
P46776	O76021
P46776	Q9H7B2
P46776	Q13901
P46776	Q9Y450
P46776	Q9P0K9
P46776	P08865
P46776	Q8NC51
P46776	P61011
P46776	P62750
P46776	P62888
P46776	P62847
P46776	P62829
P46776	P62753
P46776	P46977
P46776	P62277
P46776	Q9Y3U8
P46776	Q9NU22
P46776	Q9BZE4
P46776	Q9BVP2
P46776	Q14137
P46776	Q15477
P46776	Q9UGC7
P46776	Q8N1I0
P46776	O95478
P46776	P61513
P46776	Q9UKD2
P46776	O15235
P46776	Q13823
P46776	Q8WTT2
P46776	P36915
P46776	Q6P5R6
P46776	P62910
P46776	O00488
P46776	P62906
P46776	P62851
P46776	P62263
P46776	P46777
P46776	Q6DKI1
P46776	Q8IY81
P46776	Q6W5P4
P46776	Q9P0J6
P46776	P60866
P46776	P35268
P46776	Q8NA23
P46776	P05388
P46776	Q5T653
P46776	P05386
P46776	P50914
P46776	P30050
P46776	P32969
P46776	P62241
P46776	O00541
P46776	Q7Z2W9
P46776	P40429
P46776	P46783
P46776	Q07020
P46776	Q9Y3D3
P46776	Q96D46
P46776	P61254
P46776	Q6PGP7
P46776	Q96IZ7
P46776	P82914
P46776	P62854
P46776	Q9NVU7
P46776	Q9NVX2
P46776	P46087
P46776	P39019
P46776	Q9NRP0
P46776	P47914
P46776	P62841
P46776	P46782
P46776	Q8IXM3
P46776	Q02878
P61011	Q9BYC8
P61011	P84098
P61011	P25398
P61011	Q9Y2R9
P61011	P62249
P61011	Q9BYD3
P61011	P42766
P61011	P62917
P61011	P09001
P61011	Q92901
P61011	P62280
P61011	P82675
P61011	P61927
P61011	Q9NX24
P61011	O95347
P61011	Q6ZNA5
P61011	Q9NRX2
P61011	P08100
P61011	Q96EH5
P61011	P62266
P61011	Q96L21
P61011	Q9H9S3
P61011	P46781
P61011	Q8ND71
P61011	P49458
P61011	Q9BYD1
P61011	P47897
P61011	P61313
P61011	P63173
P61011	P36578
P61011	P78527
P61011	P08240
P61011	Q71UM5
P61011	P18124
P61011	Q9BYC9
P61011	P63220
P61011	P08865
P61011	Q6P5R6
P61011	P35268
P61011	P62854
P61011	Q9NTJ3
P61011	Q7Z2W9
P61011	P30050
P61011	P62891
P61011	P07814
P61011	P46777
P61011	Q9Y399
P61011	P62424
P61011	P82914
P61011	Q8NA23
P61011	Q9UKD2
P61011	P62753
P61011	Q6W5P4
P61011	Q5T653
P61011	P40429
P61011	P50914
P61011	P62241
P61011	P55769
P61011	O15235
P61011	P62263
P61011	P62750
P61011	Q5JPH6
P61011	P32969
P61011	Q02878
P61011	Q8N1I0
P61011	P62847
P61011	P62910
P61011	P61513
P61011	Q6DKI1
P61011	Q9Y5M8
P61011	P47914
P61011	P62829
P61011	Q13426
P61011	Q9P0J6
P61011	P09132
P61011	P62888
P61011	P60866
P61011	P62851
P61011	P62277
P61011	Q07020
P61011	P05388
P61011	H3BMG3
P61011	Q9P0K9
P61011	Q9Y3U8
P61011	O95478
P61011	P46783
P61011	P61254
P61011	Q96IZ7
P61011	P78345
P61011	P39019
P61011	P62841
P61011	P46782
P62750	Q9BYC8
P62750	P60468
P62750	P84098
P62750	P25398
P62750	P42285
P62750	Q9Y2R9
P62750	Q9NZM5
P62750	Q9UGN5
P62750	P62249
P62750	Q9BYD3
P62750	Q9H3J6
P62750	Q9Y221
P62750	Q9NZL4
P62750	O15397
P62750	P42766
P62750	Q9GZL7
P62750	O00410
P62750	P62917
P62750	Q9NVP1
P62750	P46199
P62750	P09001
P62750	Q9H089
P62750	Q9GZS3
P62750	Q7Z2Z2
P62750	Q92901
P62750	P62280
P62750	P82675
P62750	P61927
P62750	Q9BRX2
P62750	Q9NX24
P62750	P43004
P62750	Q9BYG3
P62750	Q6ZNA5
P62750	Q9HBH1
P62750	Q9NRX2
P62750	O60841
P62750	Q8TCJ2
P62750	Q9GZV4
P62750	P04843
P62750	Q96EH5
P62750	P62266
P62750	P06748
P62750	Q96L21
P62750	O60524
P62750	Q9H9S3
P62750	Q9NX20
P62750	Q9UQ80
P62750	P46781
P62750	P49458
P62750	Q17RG1
P62750	Q9BYD1
P62750	P47897
P62750	P13639
P62750	P61313
P62750	P63173
P62750	Q969S3
P62750	P36578
P62750	Q9BYD6
P62750	O43824
P62750	P14618
P62750	Q15050
P62750	P49411
P62750	P08240
P62750	Q71UM5
P62750	P63241
P62750	Q9NVN8
P62750	Q8TDN6
P62750	P68104
P62750	Q14684
P62750	P18124
P62750	P30613
P62750	Q9BYC9
P62750	P63220
P62750	P05386
P62750	P08865
P62750	Q6P5R6
P62750	P35268
P62750	O00541
P62750	Q13901
P62750	Q9NVU7
P62750	P62854
P62750	Q6PGP7
P62750	Q9BXY0
P62750	Q9BZE4
P62750	Q7Z2W9
P62750	P30050
P62750	P62891
P62750	P09874
P62750	P07814
P62750	Q9UGC7
P62750	Q9Y450
P62750	Q9NU22
P62750	P46777
P62750	Q9H9Y2
P62750	Q8NC51
P62750	Q8WTT2
P62750	P05141
P62750	Q9Y399
P62750	P62424
P62750	Q9Y3D3
P62750	Q13823
P62750	P82914
P62750	P62906
P62750	Q8NA23
P62750	O00488
P62750	P56537
P62750	Q9UKD2
P62750	Q15477
P62750	P36915
P62750	Q01780
P62750	Q8TEA1
P62750	O95373
P62750	P62753
P62750	Q6W5P4
P62750	P46087
P62750	Q5T653
P62750	P40429
P62750	P46977
P62750	Q8N4P3
P62750	Q9H173
P62750	P50914
P62750	P62241
P62750	Q8TAM6
P62750	Q15397
P62750	P55769
P62750	O15235
P62750	P62263
P62750	H3BMG3
P62750	P27635
P62750	O76021
P62750	P0C6T2
P62750	Q9H7B2
P62750	Q9P0K9
P62750	P62888
P62750	P62847
P62750	P62829
P62750	P09132
P62750	P62277
P62750	Q9Y3U8
P62750	Q9BVP2
P62750	Q14137
P62750	Q8N1I0
P62750	O95478
